Year,Party,President
1973/1977,Republican,Ford
1977/1979,Democrat,Carter
1979/1981,Democrat,Carter
1981/1983,Republican,Reagan
1983/1985,Republican,Reagan
1985/1987,Republican,Reagan
1987/1989,Republican,Reagan
1989/1991,Republican,G.H.W.Bush
1991/1993,Republican,G.H.W.Bush
1993/1995,Democrat,Clinton
1995/1997,Democrat,Clinton
1997/1999,Democrat,Clinton
1999/2001,Democrat,Clinton
2001/2003,RepublicanG.W.Bush
2003/2005,Republican,G.W.Bush
2005/2007,Republican,G.W.Bush
2007/2009,Republican,G.W.Bush
2009/2011,Democrat,Obama
2011/2013,Democrat,Obama
2013/2015,Democrat,Obama
2015/2017,Democrat,Obama
2017/2019,Republican,Trump
2019/2021,Republican,Trump
2021/2023,Democrat,Biden
2023/2025,Democrat,Biden
